Wed Sep  7 11:04:41 EDT 2016 - started
                    extended device statistics
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
    2.6    7.0  123.2  126.8  0.0  0.4    0.0   41.2   0   1 c0
    2.5    7.0  123.2  126.7  0.0  0.4    0.0   41.3   0   4 c0t0d0
    2.5    7.0  123.2  126.7  0.0  0.4    0.0   41.3   0   4 c0t0d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c0t0d0s2
    2.5    7.0  123.6  126.7  0.0  0.4    0.0   46.4   0   4 c1t0d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c1t0d0s2
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c0t1d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c0t1d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.0   0   0 c0t1d0s2
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.5   0   0 c1t1d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.0   0   0 c1t1d0s2
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.0   0   0 c0t4d0
    2.5    7.0  123.7  126.7  0.0  0.4    0.0   46.3   0   2 c1
    2.5    7.0  123.6  126.7  0.0  0.4    0.0   46.4   0   4 c1t0d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.5   0   0 c1t1d0
 12180.6 1496.1 307063.3 70008.1  0.1 92.7    0.0    6.8   0   5 c18
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4D4900000344499AD24Ad0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4D4900000344499AD24Ad0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4DEE00000338499AD231d0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4DEE00000338499AD231d0s0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.1   0   0 c18t600A0B80005A4D4900000351499AD6ECd0
    0.0    0.0    0.0    0.0  0.0  0.0    0.0    0.2   0   0 c18t600A0B80005A4D4900000351499AD6ECd0s0
